"source","target","sum"
"IDN","NLD",503
"HUN","SVK",500
"POL","LVA",496
"HRV","AUT",495
"ZOTH","LVA",494
"TUR","FIN",489
"IRL","SWE",485
"IDN","ESP",484
"BRA","PRT",482
"AUT","PRT",479
"DNK","FIN",478
"KAZ","GRC",477
"ZOTH","EST",470
"DEU","CYP",470
"MYS","NLD",468
"HUN","BEL",465
"SGP","DEU",463
"ROU","BEL",463
"IND","CZE",455
"PRT","NLD",455
"MEX","BEL",454
"FIN","EST",452
"POL","GRC",449
"IND","PRT",448
"FIN","AUT",447
"BGR","GRC",445
"CHN","LVA",443
"AUT","GRC",442
"BEL","HUN",442
"ROU","NLD",441
"FRA","SVN",440
"NOR","BEL",436
"IND","FIN",434
"KOR","PRT",430
"RUS","CYP",429
"LTU","SWE",429
"ASEAN","FIN",428
"CZE","PRT",427
"MEX","NLD",426
"BRA","SWE",425
"NLD","GRC",425
"PHL","DEU",425
"CHL","AUT",424
"TUR","SVK",422
"IRL","ESP",417
"KAZ","NLD",416
"ITA","LUX",403
"EU13","LUX",402
"LUX","BEL",402
"SWE","LTU",402
"ZNAM","SVN",401
"ZOTH","LUX",400
"ISL","FRA",398
"GRC","POL",394
"THA","NLD",394
"TWN","CZE",394
"LUX","NLD",392
"DNK","BEL",390
"THA","ESP",389
"SVN","HUN",389
"CAN","AUT",388
"KAZ","POL",388
"MYS","ITA",387
"ZOTH","CYP",380
"ROU","BGR",378
"LUX","ESP",376
"MEX","POL",375
"NOR","AUT",375
"AUT","BGR",374
"TWN","DNK",372
"SWE","HUN",369
"CHL","SWE",368
"BEL","LUX",365
"AUS","ESP",365
"POL","HRV",362
"ISR","ITA",362
"BEL","FIN",362
"KAZ","AUT",358
"GRC","BGR",358
"ROU","CZE",355
"AUS","NLD",355
"ITA","CYP",352
"PRT","POL",345
"PER","ESP",345
"IND","GRC",343
"SWE","PRT",340
"TWN","FIN",338
"SWE","EST",335
"BGR","BEL",332
"ZAF","BEL",332
"RUS","SVN",328
"BGR","POL",326
"FRA","BGR",326
"TWN","IRL",325
"ZSCA","HUN",324
"EST","DEU",322
"IRL","NLD",322
"POL","BGR",321
"CHL","GRC",320
"CHE","SVK",320
"SVK","DNK",318
"MEX","IRL",318
"ARG","FRA",315
"LTU","DEU",315
"BRA","AUT",314
"ZNAM","BGR",311
"TUN","DEU",311
"POL","EST",309
"ZNAM","LTU",304
"BRA","IRL",301
"BGR","ESP",299
"GBR","SVK",296
"ARG","ESP",296
"GRC","CYP",296
"POL","SVN",295
"BEL","GRC",292
"RUS","HRV",290
"SVN","NLD",289
"HRV","SVN",287
"FRA","LTU",286
"ZSCA","SVK",285
"ARG","ITA",284
"ASEAN","SVK",284
"JPN","LUX",282
"MAR","ITA",281
"ASEAN","HUN",279
"ITA","LVA",277
"MAR","DEU",277
"FRA","HRV",277
"IND","HUN",276
"ZNAM","HRV",274
"SVN","CZE",274
"SAU","FRA",273
"LUX","POL",269
"ZNAM","CYP",269
"GBR","CYP",267
"PRT","IRL",266
"FIN","IRL",265
"USA","SVN",265
"TUR","SVN",262
"CHE","PRT",261
"ASEAN","GRC",260
"CHL","CZE",259
"SAU","ITA",258
"HRV","FRA",255
"HUN","HRV",254
"CHL","IRL",253
"LUX","SWE",249
"LVA","SWE",246
"ROU","SWE",246
"TUR","HRV",246
"IDN","POL",246
"ITA","EST",246
"USA","LTU",245
"SVN","SWE",244
"CZE","HRV",243
"CZE","SVN",239
"SWE","SVK",239
"ESP","BGR",238
"THA","BEL",238
"DNK","AUT",236
"BGR","AUT",236
"KOR","SVN",236
"ESP","SVN",234
"VNM","BEL",232
"ISR","ESP",232
"ROW","LVA",231
"ISL","POL",231
"PRT","SWE",231
"ISL","ITA",228
"JPN","SVN",225
"CZE","BGR",225
"BEL","SVK",223
"FIN","CZE",223
"IRL","POL",223
"VNM","SWE",222
"USA","BGR",218
"THA","POL",218
"SAU","DEU",218
"SVN","SVK",217
"ROU","GRC",217
"ZAF","NLD",217
"MYS","ESP",215
"USA","CYP",215
"MEX","AUT",214
"SWE","GRC",212
"KAZ","BEL",209
"PRT","AUT",209
"ROW","EST",209
"LTU","LVA",205
"ZNAM","EST",205
"GRC","NLD",203
"NLD","SVK",203
"LVA","DNK",203
"JPN","EST",203
"USA","HRV",200
"SWE","LVA",200
"ASEAN","PRT",196
"GRC","AUT",195
"CHL","DNK",194
"LVA","LTU",193
"ESP","LUX",192
"ISR","POL",190
"THA","SWE",190
"SGP","FRA",189
"HUN","DNK",187
"NOR","CZE",186
"CHE","GRC",186
"BRA","CZE",186
"AUS","POL",185
"JPN","BGR",185
"LUX","AUT",184
"JPN","CYP",184
"ISR","NLD",180
"GBR","LUX",179
"SVN","BEL",179
"BRA","FIN",179
"THA","AUT",179
"CZE","GRC",178
"IND","SVK",178
"ESP","LTU",177
"VNM","AUT",177
"IDN","BEL",176
"ESP","HRV",175
"GRC","BEL",175
"SVK","FIN",171
"KAZ","SWE",171
"AUT","LTU",171
"SVK","LTU",170
"NLD","LTU",170
"DNK","IRL",170
"ZNAM","LVA",170
"CAN","DNK",169
"MEX","SWE",167
"ZAF","POL",166
"SVK","HRV",166
"SVK","PRT",165
"TWN","HUN",164
"CAN","CZE",162
"BRA","DNK",160
"TWN","GRC",159
"PHL","FRA",159
"TWN","SVK",157
"CAN","FIN",157
"ARG","NLD",155
"IDN","AUT",155
"ROW","LUX",155
"AUS","BEL",153
"USA","EST",153
