"source","target","sum"
"74","11",159
"47","40",157
"53","27",157
"72","20",155
"61","22",155
"34","60",155
"65","24",153
"26","56",153
"28","54",152
"56","63",152
"47","33",151
"36","54",151
"64","18",150
"49","33",150
"48","40",150
"57","50",149
"54","27",149
"49","27",148
"11","56",144
"40","50",142
"45","20",141
"27","54",141
"20","45",141
"31","28",141
"33","28",140
"29","46",140
"62","21",138
"36","45",138
"76","8",137
"50","31",136
"50","24",136
"75","14",136
"52","50",133
"65","21",132
"35","21",132
"73","20",132
"18","60",130
"76","14",129
"40","46",129
"45","28",128
"45","42",127
"42","45",127
"29","45",127
"63","8",126
"31","42",126
"34","66",126
"57","28",125
"56","54",125
"27","33",124
"58","31",124
"50","22",123
"49","40",123
"77","8",123
"56","11",123
"30","44",122
"39","46",121
"27","42",120
"69","22",120
"49","42",120
"54","31",120
"61","21",119
"20","44",119
"71","24",119
"55","28",118
"42","46",117
"37","54",117
"32","60",117
"35","28",116
"42","27",116
"76","10",116
"57","27",115
"68","22",114
"26","63",113
"44","18",113
"59","28",113
"68","20",112
"46","31",112
"22","60",111
"27","63",111
"54","11",111
"67","14",110
"20","60",107
"30","54",106
"42","50",105
"31","54",102
"64","24",102
"11","63",102
"42","33",102
"54","18",102
"33","31",101
"45","21",100
"29","60",99
"68","18",98
"59","31",97
"58","27",96
"69","14",96
"36","56",94
"62","22",94
"40","45",93
"38","45",92
"39","45",92
"57","33",92
"64","22",91
"48","31",91
"36","46",90
"65","22",90
"44","14",90
"29","44",89
"51","42",88
"65","50",88
"57","42",88
"76","11",88
"58","50",87
"40","35",86
"44","24",86
"52","33",85
"38","44",84
"24","45",84
"24","44",84
"24","46",84
"58","28",83
"64","28",82
"56","31",82
"21","45",82
"72","18",82
"71","22",81
"43","46",81
"41","60",80
"62","50",80
"69","28",79
"64","21",79
"78","8",79
"21","46",79
"24","54",79
"43","45",78
"11","66",78
"51","35",77
"39","44",77
"22","63",76
"55","31",76
"72","27",76
"50","27",75
"52","42",75
"21","44",75
"58","40",74
"53","42",74
"53","35",74
"61","28",74
"48","27",74
"27","35",73
"36","44",73
"31","35",73
"53","33",72
"68","24",71
"20","46",71
"38","60",70
"59","50",70
"27","40",70
"55","27",70
"56","20",70
"38","54",69
"44","21",69
"65","31",68
"33","27",68
"48","46",68
"69","24",67
"57","31",67
"72","21",67
"42","35",67
"37","63",66
"73","10",66
"60","28",66
"60","31",66
"51","40",65
"28","63",65
"44","20",65
"61","50",65
"39","60",64
"14","56",64
"74","20",64
"61","31",64
"56","18",64
"35","31",63
"54","10",63
"44","42",63
"31","33",62
"68","21",62
"77","11",62
"65","28",62
"62","28",61
"22","56",61
"29","56",61
"36","63",60
"31","40",60
"48","33",59
"43","44",58
"22","66",57
"57","54",57
"14","66",56
"48","50",56
"39","54",56
"37","56",55
"55","42",55
"52","54",54
"76","20",53
"20","63",53
"72","24",53
"29","54",52
"67","18",52
"28","60",52
"71","28",52
"54","56",51
"46","27",51
"31","63",51
"37","66",51
"54","20",51
"41","45",51
"45","44",51
"52","35",50
"59","27",50
"14","63",50
"28","56",49
"33","42",49
"35","42",49
"74","24",49
"44","28",48
"35","33",48
"48","44",48
"35","40",48
"68","27",48
"52","40",48
"55","33",48
"61","35",48
"74","10",48
"39","56",48
"41","46",48
"63","56",48
"53","46",46
"30","63",46
"63","11",46
"63","27",46
"46","45",45
"20","66",45
"47","45",45
"57","40",45
"20","56",45
"69","42",45
"43","54",45
"53","40",44
"46","50",44
"69","21",43
"71","21",43
"39","66",43
"50","28",43
"54","24",43
"58","35",42
"64","50",42
"68","50",42
"37","60",42
"56","10",42
"60","50",42
"58","42",42
"38","56",41
"63","24",40
"33","35",40
"73","14",39
"75","20",39
"71","50",39
"63","18",39
"24","63",38
"61","27",38
"46","33",38
"78","11",38
"33","40",38
"21","60",37
"65","27",37
"44","40",37
"24","56",37
"47","46",36
"35","50",36
"54","14",36
"63","20",36
"65","35",36
"45","31",35
"56","24",34
"60","27",34
"58","33",33
"53","60",33
"64","27",33
"49","46",33
"51","46",33
"45","40",32
"60","33",32
"43","60",32
"47","44",32
"46","35",32
"57","45",32
"43","66",32
"70","24",31
"58","60",31
"31","44",31
"27","45",31
"62","33",31
"49","45",31
